File Name,Section Heading,Section Text
1815413_cesta-newsletter-summer-2016.txt_12,project,"Some projects featured at the showcase were brand new and others were nearing completion, but several were reaching a climactic stage that left spectators wanting more. After Alex Sherman gave a preview of the Writing Rights project's elegant new visualization tool, which allows users to view their own annotations and tags as nested tree rings, many audience members voiced their desire to be part of the application's beta testing group. Michael Carter's presentation on Kindred London likewise prompted a flurry of curiosity on the process of reconciling maps of London spanning over three centuries, shedding light on the difference between our desire to stabilize a kind of abstract Cartesian city and mapmakers' immediate goal of facilitating navigation through a complex, disorderly space. To current and historical maps, the Imagined San Francisco project, as explained by Kevin Garcia, added the even more tantalizing domain of counterfactual maps, cataloging the history of
unrealized urban planning schemes in an attempt to illuminate the flow of political, economic, and cultural power in the city.

Congratulations to all of CESTA's RAs on a successful summer of research! We hope to see many of you again in the coming academic year.
------------------------------------------------------------"
1815413_cesta-newsletter-summer-2016.txt_13,Follow the Money Website Launch,"CESTA announces the release of a new Spatial History Lab website titled Follow the Money (http://followthemoney.stanford.edu/) . The project uses digital mapping technology to illustrate the geography of ten federal programs that have shared revenues with counties in the eleven states of the Far West. These payments derive from natural resource activities on federal lands, and they have been an intrinsic feature of federal conservation since the early 20th century. The project, which is an ongoing effort to gather data, is led by historian Joseph Taylor (Simon Fraser University), and the team at Stanford includes Celena Allen, Krista Fryauf, Alex Sherman, and Erik Steiner.

The website was custom built to help the public and researchers understand the history of county payments across time and space. The data is adjusted for inflation based on 2014 dollars, and five-color coding schemes help reveal the patchy geography of each payment program. At a glance users can recognize counties with high, middling, or low payments, and they can make comparisons both among counties in a given year and, using the advanced function, within counties across years.

Users can also click on individual counties to gain a deeper sense of the arc of payments over time, and how those payments compare with all other western counties. Each map includes a short history and brief analysis of that particular program. Viewers wishing to learn more can access longer essays on each program, complete with an accompanying bibliography.

The effect of these maps is to graphically illustrate the political economy of the federal domain. Federal lands constitute roughly 47 percent of all lands in the western states, none of which can be taxed by the states or counties. By tracing these payments across the 20th and early 21st centuries, the maps reveal how commodity markets and environmental regulation has been entangled with the history of taxation and social services across the West, and how shifts in production have affected the ability of counties to provide social services.
------------------------------------------------------------"
1815413_cesta-newsletter-summer-2016.txt_14,New Publication: Reading Rio de Janeiro,"Just in time for the 2016 Summer Olympics, Zephyr Frank's new book, Reading Rio de Janeiro: Literature and Society in the Nineteenth Century (Stanford University Press), hit the shelves this year. Zephyr, director of the Spatial History Project and former director of CESTA, combines close readings of novels with quantitative data analysis in this exploration of the unique social, economic, literary, and spatial world of nineteenth-century Rio.

Drawing upon evidence ranging from experimental novels to parish records and city maps, Zephyr's latest work showcases the role of CESTA's interdisciplinary, collaborative atmosphere in generating knowledge. In an interview (http://news.stanford.edu/2016/08/02/stanford-historian-explores-roots-rio/) with Stanford News, Zephyr emphasizes the role of both the Spatial History Project and the Literary Lab in shaping his argument, allowing him to construct ""a digital picture of nineteenth-century Rio"" that provided a foundation for mapping the movements of fictional characters. The picture painted by the book — one of accelerating capitalist development that has effects not only on legal and economic but also on artistic and social systems — reflects the joint influence of geospatial humanities and quantitative textual analysis on Zephyr's research.

Zephyr will spend the 2016-17 academic year as a fellow at the Center for Advanced Study in the Behavioral Sciences, where he will devote his attention to a second volume that shifts its attention from novels to theater and popular television. Whether the object of his close reading is a nineteenth-century play or a contemporary telenovela, Zephyr brings to his work a sociological framework that approaches popular narratives as ""transcripts for social history.""

Congratulations to Zephyr on his latest publication!
------------------------------------------------------------"
1815413_cesta-newsletter-summer-2016.txt_15,Jasper Ridge Renderings Win Atlas of Design Recognition,"The Spatial History Project's research and Erik Steiner's fabulous 3D renderings of the historical ecology at Jasper Ridge Biological Preserve have been selected for inclusion in the Atlas of Design, a biannual international juried competition featuring ""the best maps in the world."" Through interactive visualizations like those below, Erik, Maria Santos, and Jon Christensen have registered long-term environmental and ecological changes in the San Francisquito Creek watershed, which includes Jasper Ridge, Stanford, Palo Alto, East Palo Alto, and Menlo Park.

The Atlas will be released in October at NACIS (the North American Cartographic Information Society). A draft of the maps has been hanging outside the large conference room for a few months now; we'll pick up a few printed Atlases next month to have around the lab for inspiration."
1815413_cesta-newsletter-summer-2016.txt_16,RA Spotlight: Ena Alvarado,"My name is Ena Alvarado, and I am a rising junior from Caracas, Venezuela. This past summer, I worked as a research assistant for the Poetic Media Lab, the Literary Lab, and the Medieval Source Book project. I learned to use Drupal, a content management system; I read short stories and novels, tagging them for their time progression; and I examined text annotations from Lacuna Stories readers. As a prospective English major, oddly enough, I enjoy reading and writing immensely. I also love watching foreign films, daydreaming in café shops, and amateurishly playing the guitar.
------------------------------------------------------------"
1815413_cesta-newsletter-summer-2016.txt_17,Visiting Scholars,"Once again, CESTA hosted scholars from around the world this summer, providing a home base for research that draws upon a wide variety of digital methods to approach humanistic questions.

The Spatial History Project was thrilled to host collaborators on site for several weeks this summer, including visits from Ethan Blue (Senior Lecturer in History, University of Australia), who continued his research on deportation trains in the early twentieth-century U.S.; Lea Vandevelde (Josephine R. Witte Professor of Law, University of Iowa), principal investigator of the Law of the Antebellum Frontier project; and Ocean Howell (Assistant Professor of History, University of Oregon), whose Imagined San Francisco project explores the history of abandoned urban planning schemes in SF. The Mapping Rome forum (see above) also hosted Jim Tice, Nick Camerlenghi, and Giovanni Svevo, among others. Thanks for coming!


Starting in September, CESTA is lucky enough to host Frederik Norén of Umeå University in Sweden. Frederik's work focuses on how the Swedish government stores, codes, and uses information about its citizens: how does a nation with a strong history of institutional record-keeping adapt to the information age? While at Stanford, he will use topic modeling to investigate the language of new media and communication in government documents. If you see Frederik, stop by and say hello!
------------------------------------------------------------"
1815413_cesta-newsletter-summer-2016.txt_18,Arrivals and Departures,"The wheel of fortune rolls on, the sands of time trickle through the hourglass, and CESTA staff members come and go ...

Departures

We were very sad to say goodbye to two beloved researchers, colleagues, and friends this summer — but relieved to know that both will still be working at Stanford! Nicole Coleman has moved to the Stanford University Libraries, while Sarah Ogilvie is housed in the Linguistics department. We wish them both the best in their new positions, and hope that they'll come back for frequent visits!

Arrivals

Hannah Walser comes to CESTA from the English Department at Stanford, where she earned her PhD this June. Co-appointed in CESTA and the Literary Lab, Hannah will serve as Project Manager in the Lab while handling communications and publicity at CESTA. She adores her new officemates and is excited to deepen her involvement with the world of DH!

============================================================

This email was sent to *|EMAIL|* (mailto:*|EMAIL|*)
why did I get this? (*|ABOUT_LIST|*)     unsubscribe from this list (*|UNSUB|*)     update subscription preferences (*|UPDATE_PROFILE|*)
*|LIST_ADDRESSLINE_TEXT|*

*|REWARDS_TEXT|*"
1993697_cesta-newsletter-fall-winter-2016-2017.txt_1,A Message from the Director,"This has been a busy and exciting year in CESTA, with the inauguration of our new fortnightly seminar series, and a record number of new colleagues, projects and researchers participating in the work of the center. We have innovative grant applications underway, and inspiring collaborations in the pipeline with scholars from all over the world, including institutions in Europe, South Africa, and Australia.
We have been delighted to host a well-attended new seminar series on alternate Tuesday lunchtimes. During the autumn, we were treated to groundbreaking presentations from Mark Algee-Hewitt (Literary Lab), Tom Mullaney (DH Asia), and Nicholas Jenkins and Erik Steiner (Kindred London). Winter had a packed schedule of presentations, including colleagues such as Alice Staveley of the Modernist Archives Publishing Project, Giovanna Ceserani of the Grand Tour Project, Brian Johnsrud of Lacuna, and Shelley Fisher Fishkin of the Chinese Railroad Workers in North America project.

Our programs have got off to an excellent start, with a splendid cohort of undergraduate researchers contributing to major projects in the Literary Lab, Spatial History, and the Chinese Railroad Workers in North America Project, among others. The preparation of brand new translations of early literary texts continued apace in Professor Kathryn Starkey’s Global Medieval Sourcebook and researchers for Cyber Text Technologies amassed information and case studies for tablet, scroll and book technologies from c.4000 BCE to 1400 CE. The Humanities + Design team, directed by Dan Edelstein and Nicole Coleman, continued its development of Fibra with the help of a generous ACLS grant and presented the results at a CESTA Seminar. Brian Johnsrud is directing this year's Graduate Fellows cohort, and other curricular efforts—from the Digital Humanities Graduate Certificate, to undergraduate courses in DH—are thriving. We are looking forward to a wonderfully productive close to the academic
year! We hope to see you this spring quarter."
1993697_cesta-newsletter-fall-winter-2016-2017.txt_2,Student Spotlights,
1993697_cesta-newsletter-fall-winter-2016-2017.txt_3,DH Fellows,"In the 2016-17 academic year, CESTA is thrilled to welcome seven new Graduate Digital Humanities Fellows. Chosen through a competitive application process that emphasizes independent thinking and innovative methods, the fellows meet weekly to discuss recent developments in digital humanities, develop skills through workshops, present work in progress, or simply build community by working in a shared space. The program culminates in a research showcase where fellows share the fruits of their labor.
No two members of this year's cohort are based in the same department, a development showing both the broad popularity of the Graduate DH Fellows program and the diversity of digital humanities practices at Stanford. Their interests range from the Soviet literature of World War II (Daniel Bush) to religiosity in Chinese Buddhist monks (Sangyop Lee), from manuscript networks in Anglo-Saxon England (Jonathan Quick) to performance repertoires in the British colonies (Kellen Hoxworth); the results may take the form of social networks of romance novelists (Chris Larsen), maps reflecting the local place-making practices of Portobelo, Panama (Marguerite De Loney), or genealogical databases of colonial families of eighteenth-century Brazil (Leo Barletta). To learn more about this magnificent suite of projects, mark your calendars for May 31 from 1:00-5:00 p.m., when the fellows will present their research at the annual symposium!"
1993697_cesta-newsletter-fall-winter-2016-2017.txt_4,RA Spotlight: Stephanie Niu,"Hi! I’m Stephanie, a sophomore majoring in Symbolic Systems. Since last autumn, I’ve been working with the Chinese Railroad Workers’ Project to design and build data visualizations that convey the experience of the Chinese transcontinental railroad workers. Telling a data-driven story using historical data is a challenge, but it’s also an exciting opportunity to use data visualization techniques to convey a historical and under-documented experience that would be otherwise difficult to imagine. I’m grateful for the opportunity to work at CESTA and am constantly learning from the project and the people in it. Outside of classes and CESTA, I spend my time dancing/choreographing, making soap, and napping relentlessly."
1993697_cesta-newsletter-fall-winter-2016-2017.txt_5,Project Updates,
1993697_cesta-newsletter-fall-winter-2016-2017.txt_6,Literary Lab News,"La Littérature au Laboratoire: that was the title of the Literary Lab's pamphlet collection as it appeared this October from French publisher Ithaque. The anthology, edited and with an introduction by Stanford professor and former Lab director Franco Moretti, includes many of the Lab's greatest hits, from ""Quantitative Formalism,"" their first ever pamphlet, to 2016's ""Canon/Archive."" While the French edition happened to make it past the finish line first, the anthology will appear in a number of languages, including Spanish, Italian, German, and of course (in 2017, from n+1) English.

Although the anthology encompasses the first 12 pamphlets published by the Lab, the series is far from over: Pamphlet 13, on ""The Emotions of London,"" was also released this October. The fruit of a collaboration between Moretti, Ryan Heuser, and the Spatial History Project's Erik Steiner, the project uses a combination of digital mapping and sentiment analysis to reconstruct the affective space of eighteenth- and nineteenth-century London, discerning the ""narrative geography"" of such authors as Dickens, Trollope, Thackeray, and more.

In 2017, the Lab has yet more in store, including a collectively authored essay on ""The Novel as Data"" that will appear in the new Cambridge Companion to the Novel (May 2017) and an article on ""Representations of Race and Ethnicity in American Fiction"" forthcoming in Cultural Analytics. In addition to publications, Lab Director Mark Algee-Hewitt has presented the Lab's research in a number of settings this academic year, from Princeton to Tallahassee to Glasgow to Banff.

Back at Stanford, Franco Moretti returned for two lectures on the triumphs and challenges of digital humanities this winter. In the first talk, ""Patterns and Interpretation,"" Moretti reflected on the Literary Lab's work to date and made a strong case for the continued — or, indeed, greater than ever — relevance of theory and explanation in the age of ""big data."" The second talk was co-presented by Moretti and Leonardo Impett, a doctoral student in digital humanities at the École Polytechnique Féderale de Lausanne in Switzerland. The duo shared preliminary results from an exciting new project applying quantitative methods to the visual arts, analyzing patterns of emotional expression in the paintings collected by art historian Aby Warburg in his Atlas of Images. Moretti was also present for the second annual Lab Day, when members of the Literary Lab gather for flash presentations on new project ideas; this year, twelve lab members — ranging from undergraduate RA Lis Wolenetz
to graduate students from multiple departments to the Lab's directors — shared work on topics as diverse as Samuel Johnson's Dictionary, the language of Cold War foreign policy, suspense in 19th-century dime novels, and the sociology of Goodreads.

Stay tuned in spring quarter for more exciting events, including an interdisciplinary conference on ""Findings"" in the digital humanities."
1993697_cesta-newsletter-fall-winter-2016-2017.txt_7,Poetic Media Lab News,"Earlier this fall, the Poetic Media Lab was proud to welcome its second cohort of community college fellows in the EPIC (Education Partnership to Internationalize Curriculum) program. Funded by a Title VI grant from the U.S. Department of Education, the program allows fellows to work with partners at Stanford on projects using the Lacuna digital annotation platform developed by the Poetic Media Lab, exploring opportunities for digital technologies to enrich classroom discussion and foster diverse learning communities. The fellows, who hold faculty positions at Foothill, De Anza, and San Mateo community colleges, will present their projects to the broader community at a symposium this spring. For more information on the EPIC program or to view presentations by last year's fellows, visit the Poetic Media Lab's website (https://poeticmedia.stanford.edu/lacuna-launches-second-cohort-epic-community-college-fellows) .

From the local to the global: this winter, the Lacuna platform was also adopted at several major Scandinavian universities, including the University of Uppsala (Sweden), the University of Copenhagen (Denmark), and the Norwegian University of Technology and Science (Norway). In March, the Poetic Media Lab welcomed faculty and academic technology staff from the Norwegian University of Technology and Science for a 2-day workshop introducing them to the technology, curriculum, pedagogical practices, and teaching opportunities using Lacuna in higher education classrooms. CESTA is thrilled to see Lacuna expanding its reach and learning as it grows.

Lacuna is a digital annotation and learning platform developed by the Poetic Media Lab.
It's no surprise that the Poetic Media Lab's newest tool is already developing a similarly international profile! Historians from the University of Patterborn in Germany have launched their study of how university students and professional historians read historical texts, particularly texts about the Crusades. Using Reader Study (www.readerstudy.com (http://www.readerstudy.com/) ), an open-source platform built by the Poetic Media Lab to track reception of texts, the Patterborn researchers will analyze the survey and annotation data tracked by the platform to see how individuals interpret different historical texts about the Crusades, and how they understand them in relation to the present era. The first study using Reader Study, conducted by Brian Johnsrud, examined the reception of Jonathan Safran Foer's post-9/11 novel Extremely Loud and Incredibly Close and was presented by Brian Johnsrud at a CESTA Seminar on February 14 (see above for more details).

Last but not least, Trine Korsby, a postdoctoral researcher in the Poetic Media Lab, returned from a month of ethnographic fieldwork in Romania in December to learn that she and a team of anthropologists, criminologists, and political scientists have received a 2 million euro European Research Council grant to research international organized crime. Trine's fieldwork looks at the moral economic of transnational pimping, exploring how morality is experienced and performed by the pimps themselves — the people often categorized as immoral perpetrators. Her ethnographic work is analyzed and processed using digital tools like Lacuna, the digital annotation platform built by the Poetic Media Lab. Congratulations to Trine on this stunning success!

Trine Korsby, whose research on transnational pimping and the figure of the perpetrator has been funded by a European Research Council grant."
1993697_cesta-newsletter-fall-winter-2016-2017.txt_8,Chinese Railroad Workers in North America News,"In addition to presenting the Chinese Railroad Workers in North America project to a packed house in one of this winter's CESTA Seminars, Prof. Shelley Fisher Fishkin also traveled to Yale this February to share the project with the Center for the Study of Race, Indigeneity, and Transnational Migration. Fittingly, the talk was co-sponsored by Yale Public Humanities and the Digital Humanities Lab at Sterling Memorial Library: the capacity of the CRRW project to connect scholars and the public — not only sharing the results of academic research, but enriching it through the stories of everyday individuals — was very much in evidence at the CESTA Seminar, where many of the attendants counted at least one Chinese railroad worker among their ancestors. Such collaboration and cooperation is essential to a project that aims, not only to answer historical questions about the migration of Chinese laborers to the U.S. in the nineteenth century, but to reconstruct a lifeworld.

Meanwhile, back on the Farm, the CRRW visualization team — especially RAs Stephanie Linlin Niu and Yue Li — has been developing numerous topographical maps showing key points along the Central Pacific railroad. Thanks to Beijing-based photographer Li Ju, another form of visualization is now linked to the project: an exhibit of railroad photographs taken along the Central Pacific route and displayed at Stanford this fall. Li Jiu traveled the route of the Central Pacific Railroad four times, revisiting and re-photographing sites documented by nineteenth-century photographer Alfred Hart. The exhibit has now traveled to Menlo College, where it will remain on display at the Bowman Library from March 23 through May 5, 2017.

A section of the Central Pacific Railroad in 1868, on the left, and the same location in 2015 in a photograph by Li Ju, on the right. Source: Stanford News, November 9, 2015.
The CRRW project is also excited to welcome Kevin Hsu on board. Kevin is a Lecturer in Urban Studies at Stanford University, where he co-founded the Human Cities Initiative, and an urban scientist with Disney Research. His work focuses on bringing human-centered design and sustainable energy infrastructure to the study of cities, with a particularly interest in how sustainability maps onto efforts to protect tangible and intangible heritage and promote cultural continuity. Kevin will be working on, among other things, the CRRW project's future digital publications."
1993697_cesta-newsletter-fall-winter-2016-2017.txt_9,Spatial History Project News,"This winter quarter saw the launch of the Spatial History Project Working Group, a new monthly meeting that fosters community within the SHP while giving researchers an opportunity to share and receive feedback on their work in progress. The meetings, which take place on the last Thursday of each month, started off in February with a presentation from Luca Scholz (Andrew W. Mellon Fellow in the Humanities and Lecturer in the Department of History) on mapping pre-modern territoriality using digital tools; in the March meeting, George da Guia (Ph.D. Candidate, University of Brasilia, and Visiting Scholar in the Department of History at Stanford) shared his research mapping the flows of capital in Latin America and the Caribbean over the last fifty years. Don't miss the spring quarter meetings, scheduled for April 27 and May 25!

Screenshot from the Lanciani Archive website.
After last summer's successful ""Mapping Rome ... Not in a Day"" symposium, where scholars from CESTA and around the globe discussed a collaborative effort to bring the great masterpieces of Roman cartography to life in digital form, the Spatial History Project is delighted to announce the launch of the online Lanciani Archive (https://exhibits.stanford.edu/lanciani) . Building on Rodolfo Lanciani's magisterial Forma Urbis Romanae (1901), the archive includes prints, photographs, street maps, floor plans, and other images related to the key sites mapped by Lanciani, organized into exhibits that mimic the folder structure used by Lanciani himself. The site also includes curated multimedia essays on everything from architectural features to Roman archaeology to the economic history of the city. Hosted through the Stanford University Libraries, the site is an invaluable resource for students of both ancient and 20th-century Rome, scholars browsing primary materials, and members of
the general public hoping to explore

The Spatial History Project is also excited to welcome a new graduate research assistant into the fold. Leo Barleta, a doctoral candidate in Stanford's Department of History, joined the SHP this fall and has already spearheaded the creation of the SHP Working Group — all while participating in CESTA's Graduate DH Fellows program as well. Leo's own research focuses on the formation of domestic markets on the periphery of the Portuguese Empire during the 17th and 18th centuries, and he has previously worked at CESTA as a research assistant under the direction of Zephyr Frank. In his new role, Leo organizes events, facilitates communication, and supports project development for the SHP; you've probably already seen his emails in your inbox!"
1993697_cesta-newsletter-fall-winter-2016-2017.txt_10,Text Technologies Project News,"Written in ink, parchment, paper, wood, and stone, the materials and transmission of text has captured scholarly attention around the globe. This spring, CESTA faculty and graduate students joined scholars at Fudan University, Shanghai, for the second International Conference on Medieval-Early Modern Text Technologies (March 29-31). This year’s theme, “From Manuscript to Print: Medieval Europe and China,” invited participants to explore and connect these dual traditions.

Scholars from CESTA and Fudan University in Shanghai
CESTA director Professor Elaine Treharne joined Professor Chen Yinchi (Fudan) in welcoming scholars to this transhistorical conversation. Participants investigated topics ranging from Chinese epitaphs to Christian liber vitae, letter writing, scribal and calligraphic cultures, and the global appearance of print. Advanced graduate students and CESTA fellows Jonathan Quick and Jessica Beckman gave papers on their current research, while Likun Yang and Yafang Bao provided tour-de-force translation of conference discussions in English and Chinese.

The conference was the second organized by the East-West Text Technologies Research Project, a multi-year investigation into the global history of text technologies. Conceived by Professors Ron Egan and Elaine Treharne, these events generate an innovative and multi-disciplinary body of work about the history of human communication.

The conference was generously supported by Department of Chinese at Fudan University, as well as Stanford’s Confucius Institute, Dean of Research, Departments of English and East Asian Languages and Cultures, and Stanford Text Technologies."
1993697_cesta-newsletter-fall-winter-2016-2017.txt_11,DH Asia Receives Sawyer Seminar Funding,"CESTA congratulates Prof. Tom Mullaney, whose highly successful DHAsia initiative was recently awarded a Sawyer Seminar grant from the Andrew W. Mellon Foundation. Sawyer Seminars are intended to bring together faculty, graduate students, and visitors from a variety of disciplines to discuss large-scale, comparative humanistic questions. Described by the Mellon Foundation as ""temporary research centers,"" the seminars typically allow for the funding of one postdoctoral researcher and two graduate students, as well as for regular meetings that incorporate presentations and guests from multiple institutions.

In the case of DHAsia, these capacities will not only contribute to the sustenance of that program's workshop series, but will also allow for a more intensive study of non-Western digital humanities, with special focus on East, South, Southwest, and Inner-Central Asia. Drawing upon both the expertise of researchers studying Asian texts by digital means and the technological resources of Silicon Valley, the Seminar will culminate in a white paper assessing the needs and future of Asian digital humanities. CESTA looks forward to another year of exciting conversations and groundbreaking research!
------------------------------------------------------------"
1993697_cesta-newsletter-fall-winter-2016-2017.txt_12,New Project Spotlight: Greece and Rome in South Africa,"The Spatial History Project has always been a home for innovation in both scholarship and public humanities, and this year's crop of new projects continues the tradition. Of particular note is the ""Greece and Rome in South Africa"" digital museum helmed by Professor Grant Parker of Stanford's Classics Department. In South African history, classical Greece and Rome have been evoked both in expressions of colonial power and in resistance to the apartheid state, serving as a polyvalent source of imagery, rhetorical tropes, and cultural authority. Using multimedia sources from public art to political cartoons, historical maps to theatrical performances, Prof. Parker's museum aims to answer the question: what is at stake in the presence of Greece and Rome in a postcolonial context such as South Africa? Research Assistant Tamu Adumer is currently helping Prof. Parker explore Stanford Spotlight exhibits and other potential tools for displaying materials reflecting this provocative
historical intersection."
1993697_cesta-newsletter-fall-winter-2016-2017.txt_13,New Project Spotlight: Mapping Ottoman Greece,"One of CESTA's most exciting new projects in the 2016-17 academic year comes from Professor Ali Yaycioglu (https://history.stanford.edu/people/ali-yaycioglu) , a member of Stanford's Department of History with a longstanding interest in mapping, spatiality, and digital geospatial analysis. In Mapping Ottoman Greece: Space, Power and Empire, Prof. Yaycioglu will collaborate with Professor Antonis Hadjikyriacou of Bogazici University in Istanbul to map the political and economic landscape of Greece during the Ottoman period, extending from roughly the early 18th to the mid 19th century. Working with CESTA's Erik Steiner and Research Assistants Kevin Garcia and Connor Kennedy, the researchers will layer in a diverse assortment of data — ranging from topographical data gathered from field research to archival texts in Greek, Ottoman-Turkish, French, Russian, and English — to build a geospatial database that accurately reflects the many networks of power and influence that
structured Ottoman Greece: administrative, military, ethnic, scholarly, mercantile, and more. Keep an eye on Mapping Ottoman Greece for what are sure to be fascinating and beautiful digital visualizations of a vanished empire.
------------------------------------------------------------"
1993697_cesta-newsletter-fall-winter-2016-2017.txt_14,Featured Events,
